time,o,h,l,c,volume
2020-01-20T18:03:00.000000000Z,1.10832,1.1083399999999999,1.10832,1.10832,5
2020-01-20T18:04:00.000000000Z,1.1083100000000001,1.1083100000000001,1.1083100000000001,1.1083100000000001,1
2020-01-20T18:07:00.000000000Z,1.1083,1.1083,1.1083,1.1083,3
2020-01-20T18:09:00.000000000Z,1.1083,1.1083,1.1083,1.1083,4
2020-01-20T18:10:00.000000000Z,1.10828,1.1083,1.10828,1.1083,2
2020-01-20T18:11:00.000000000Z,1.10828,1.10828,1.10828,1.10828,1
2020-01-20T18:14:00.000000000Z,1.1083,1.1083,1.1083,1.1083,1
2020-01-20T18:17:00.000000000Z,1.1083,1.1083,1.1083,1.1083,2
2020-01-20T18:18:00.000000000Z,1.1083100000000001,1.1083100000000001,1.1083,1.1083100000000001,3
2020-01-20T18:20:00.000000000Z,1.1083,1.1083,1.10826,1.10826,4
2020-01-20T18:21:00.000000000Z,1.10824,1.10826,1.10824,1.10826,16
2020-01-20T18:22:00.000000000Z,1.10824,1.10826,1.10824,1.10826,34
2020-01-20T18:24:00.000000000Z,1.10824,1.10826,1.10824,1.10826,4
2020-01-20T18:25:00.000000000Z,1.10826,1.10826,1.10826,1.10826,2
2020-01-20T18:26:00.000000000Z,1.10826,1.10826,1.10826,1.10826,8
2020-01-20T18:28:00.000000000Z,1.10826,1.10826,1.10826,1.10826,14
2020-01-20T18:30:00.000000000Z,1.10826,1.10826,1.10826,1.10826,1
2020-01-20T18:35:00.000000000Z,1.10828,1.10828,1.10827,1.10827,86
2020-01-20T18:37:00.000000000Z,1.10826,1.10826,1.10825,1.10825,18
2020-01-20T18:38:00.000000000Z,1.10826,1.10826,1.10825,1.10826,5
2020-01-20T18:39:00.000000000Z,1.10825,1.10826,1.10825,1.10825,9
2020-01-20T18:40:00.000000000Z,1.10826,1.10826,1.10826,1.10826,1
2020-01-20T18:42:00.000000000Z,1.10825,1.10826,1.10825,1.10825,7
2020-01-20T18:43:00.000000000Z,1.10826,1.10826,1.10826,1.10826,1
2020-01-20T18:47:00.000000000Z,1.10828,1.10828,1.10828,1.10828,1
2020-01-20T18:48:00.000000000Z,1.10826,1.10826,1.10826,1.10826,3
2020-01-20T18:49:00.000000000Z,1.10826,1.10856,1.10826,1.10856,19
2020-01-20T18:50:00.000000000Z,1.10856,1.10866,1.10846,1.10858,62
2020-01-20T18:51:00.000000000Z,1.10857,1.10863,1.10853,1.10859,28
2020-01-20T18:52:00.000000000Z,1.1086,1.1089200000000001,1.1086,1.10891,51
2020-01-20T18:53:00.000000000Z,1.10894,1.10904,1.10881,1.1089200000000001,71
2020-01-20T18:54:00.000000000Z,1.1089,1.1089200000000001,1.10887,1.1089,18
2020-01-20T18:55:00.000000000Z,1.10891,1.1090799999999998,1.1089,1.10904,51
2020-01-20T18:56:00.000000000Z,1.1090200000000001,1.10904,1.109,1.10901,8
2020-01-20T18:57:00.000000000Z,1.109,1.109,1.10866,1.10876,46
2020-01-20T18:58:00.000000000Z,1.10875,1.10889,1.1087200000000001,1.10885,22
2020-01-20T18:59:00.000000000Z,1.10886,1.10895,1.1088200000000001,1.10894,14
2020-01-20T19:00:00.000000000Z,1.1089200000000001,1.10894,1.10885,1.10887,29
2020-01-20T19:01:00.000000000Z,1.10886,1.10886,1.1087799999999999,1.1088200000000001,20
2020-01-20T19:02:00.000000000Z,1.10884,1.10885,1.1088200000000001,1.10885,6
2020-01-20T19:03:00.000000000Z,1.10886,1.10886,1.10885,1.10885,20
2020-01-20T19:04:00.000000000Z,1.10886,1.1089200000000001,1.10885,1.1089200000000001,28
2020-01-20T19:05:00.000000000Z,1.1089,1.1089200000000001,1.1089,1.10891,7
2020-01-20T19:06:00.000000000Z,1.1089200000000001,1.109,1.10891,1.10893,13
2020-01-20T19:07:00.000000000Z,1.10894,1.10895,1.10893,1.10894,43
2020-01-20T19:08:00.000000000Z,1.10895,1.10912,1.10894,1.10912,18
2020-01-20T19:09:00.000000000Z,1.1091,1.10912,1.10884,1.10891,51
2020-01-20T19:10:00.000000000Z,1.1089,1.1089200000000001,1.1089,1.1089200000000001,9
2020-01-20T19:11:00.000000000Z,1.10894,1.10896,1.1089,1.1089,5
2020-01-20T19:12:00.000000000Z,1.10889,1.1089,1.1088200000000001,1.10889,18
2020-01-20T19:13:00.000000000Z,1.1088799999999999,1.1088799999999999,1.10886,1.1088799999999999,3
2020-01-20T19:14:00.000000000Z,1.1089,1.1089,1.10887,1.10887,9
2020-01-20T19:16:00.000000000Z,1.1088799999999999,1.10896,1.1088799999999999,1.10896,30
2020-01-20T19:17:00.000000000Z,1.10894,1.1091,1.10894,1.10904,100
2020-01-20T19:18:00.000000000Z,1.10906,1.10907,1.1090200000000001,1.10907,18
2020-01-20T19:19:00.000000000Z,1.1090799999999998,1.1091,1.10904,1.10906,15
2020-01-20T19:20:00.000000000Z,1.10907,1.1091,1.10904,1.10906,20
2020-01-20T19:21:00.000000000Z,1.1090799999999998,1.10909,1.10896,1.1089799999999999,16
2020-01-20T19:22:00.000000000Z,1.109,1.109,1.1089799999999999,1.109,3
2020-01-20T19:23:00.000000000Z,1.1089799999999999,1.10912,1.1089799999999999,1.10909,86
2020-01-20T19:24:00.000000000Z,1.1090799999999998,1.10913,1.10906,1.10912,9
2020-01-20T19:25:00.000000000Z,1.1091,1.1091,1.10907,1.1090799999999998,18
2020-01-20T19:26:00.000000000Z,1.10906,1.10909,1.10905,1.10909,5
2020-01-20T19:28:00.000000000Z,1.1090799999999998,1.10914,1.1090799999999998,1.10914,7
2020-01-20T19:29:00.000000000Z,1.1091600000000001,1.1091600000000001,1.10914,1.1091600000000001,3
2020-01-20T19:30:00.000000000Z,1.1091600000000001,1.1091600000000001,1.1091,1.10911,18
2020-01-20T19:31:00.000000000Z,1.1091,1.1091799999999998,1.1091,1.1091799999999998,10
2020-01-20T19:32:00.000000000Z,1.10919,1.1092,1.1091799999999998,1.1091799999999998,10
2020-01-20T19:33:00.000000000Z,1.1092,1.1092,1.10917,1.1092,7
2020-01-20T19:34:00.000000000Z,1.10919,1.1092,1.1091799999999998,1.1091799999999998,9
