time,o,h,l,c,volume
2020-01-20T17:05:00.000000000Z,1.1085399999999999,1.1085399999999999,1.10838,1.1084399999999999,40
2020-01-20T17:10:00.000000000Z,1.10846,1.1085200000000002,1.10846,1.1085,27
2020-01-20T17:15:00.000000000Z,1.1085200000000002,1.1086200000000002,1.1085200000000002,1.10859,54
2020-01-20T17:20:00.000000000Z,1.10858,1.10861,1.1085399999999999,1.10858,32
2020-01-20T17:25:00.000000000Z,1.10856,1.10861,1.10856,1.10859,29
2020-01-20T17:30:00.000000000Z,1.10858,1.1086799999999999,1.10858,1.1086200000000002,46
2020-01-20T17:35:00.000000000Z,1.1086,1.1086799999999999,1.10859,1.1086799999999999,20
2020-01-20T17:40:00.000000000Z,1.10867,1.1086799999999999,1.10864,1.10867,45
2020-01-20T17:45:00.000000000Z,1.10866,1.10866,1.10839,1.1084,93
2020-01-20T17:50:00.000000000Z,1.1084100000000001,1.1084399999999999,1.1083399999999999,1.10836,43
2020-01-20T17:55:00.000000000Z,1.10838,1.10838,1.10832,1.10835,27
2020-01-20T18:00:00.000000000Z,1.10836,1.10836,1.10829,1.1083100000000001,19
2020-01-20T18:05:00.000000000Z,1.1083,1.1083,1.1083,1.1083,7
2020-01-20T18:10:00.000000000Z,1.10828,1.1083,1.10828,1.1083,4
2020-01-20T18:15:00.000000000Z,1.1083,1.1083100000000001,1.1083,1.1083100000000001,5
2020-01-20T18:20:00.000000000Z,1.1083,1.1083,1.10824,1.10826,58
2020-01-20T18:25:00.000000000Z,1.10826,1.10826,1.10826,1.10826,24
2020-01-20T18:30:00.000000000Z,1.10826,1.10826,1.10826,1.10826,1
2020-01-20T18:35:00.000000000Z,1.10828,1.10828,1.10825,1.10825,118
2020-01-20T18:40:00.000000000Z,1.10826,1.10826,1.10825,1.10826,9
2020-01-20T18:45:00.000000000Z,1.10828,1.10856,1.10826,1.10856,23
2020-01-20T18:50:00.000000000Z,1.10856,1.10904,1.10846,1.1089,230
2020-01-20T18:55:00.000000000Z,1.10891,1.1090799999999998,1.10866,1.10894,141
2020-01-20T19:00:00.000000000Z,1.1089200000000001,1.10894,1.1087799999999999,1.1089200000000001,103
2020-01-20T19:05:00.000000000Z,1.1089,1.10912,1.10884,1.10891,132
2020-01-20T19:10:00.000000000Z,1.1089,1.10896,1.1088200000000001,1.10887,44
2020-01-20T19:15:00.000000000Z,1.1088799999999999,1.1091,1.1088799999999999,1.10906,163
2020-01-20T19:20:00.000000000Z,1.10907,1.10913,1.10896,1.10912,134
2020-01-20T19:25:00.000000000Z,1.1091,1.1091600000000001,1.10905,1.1091600000000001,33
